Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Chronic moderate heat dermatitis (erythema ab igne) in five dogs, three cats and one silvered langur.","/pubmed/12358613","Walder EJ, Hargis AM.","Vet Dermatol. 2002 Oct;13(5):283-92.","Vet Dermatol.  2002","PubMed","citation","PMID:12358613","pubmed","12358613","create date:2002/10/03 | first author:Walder EJ",
"Immunohistochemical identification and image analysis quantification of oestrogen and progesterone receptors in canine and feline meningioma.","/pubmed/12354535","Mandara MT, Ricci G, Rinaldi L, Sarli G, Vitellozzi G.","J Comp Pathol. 2002 Aug-Oct;127(2-3):214-8.","J Comp Pathol.  2002","PubMed","citation","PMID:12354535","pubmed","12354535","create date:2002/10/02 | first author:Mandara MT",
"Enteric parasitic zoonoses of domesticated dogs and cats.","/pubmed/12270734","Robertson ID, Thompson RC.","Microbes Infect. 2002 Jul;4(8):867-73. Review.","Microbes Infect.  2002","PubMed","citation","PMID:12270734","pubmed","12270734","create date:2002/09/25 | first author:Robertson ID",
"Exposure to cat allergen, maternal history of asthma, and wheezing in first 5 years of life.","/pubmed/12241839","Celedón JC, Litonjua AA, Ryan L, Platts-Mills T, Weiss ST, Gold DR.","Lancet. 2002 Sep 7;360(9335):781-2.","Lancet.  2002","PubMed","citation","PMID:12241839","pubmed","12241839","create date:2002/09/21 | first author:Celedón JC",
"The importance of pets as reservoirs of resistant Enterococcus strains, with special reference to vancomycin.","/pubmed/12241027","Rodrigues J, Poeta P, Martins A, Costa D.","J Vet Med B Infect Dis Vet Public Health. 2002 Aug;49(6):278-80.","J Vet Med B Infect Dis Vet Public Health.  2002","PubMed","citation","PMID:12241027","pubmed","12241027","create date:2002/09/21 | first author:Rodrigues J",
"Selection of recently isolated colicinogenic Escherichia coli strains inhibitory to Escherichia coli O157:H7.","/pubmed/12233846","Schamberger GP, Diez-Gonzalez F.","J Food Prot. 2002 Sep;65(9):1381-7.","J Food Prot.  2002","PubMed","citation","PMID:12233846","pubmed","12233846","create date:2002/09/18 | first author:Schamberger GP",
"Urinary excretion patterns of 5-hydroxyindole-3-acetic acid and 5-hydroxytryptophol in various animal species: implications for studies on serotonin metabolism and turnover rate.","/pubmed/12231396","Some M, Helander A.","Life Sci. 2002 Oct 4;71(20):2341-9.","Life Sci.  2002","PubMed","citation","PMID:12231396","pubmed","12231396","create date:2002/09/17 | first author:Some M",
"Effects of theophylline on tracheal mucociliary clearance rates in healthy cats.","/pubmed/12224868","Dunn ME, Taylor SM, Shmon CL, Wilkinson AA, Matte GG, Dudzic EM, Cantwell S, Semple H.","Am J Vet Res. 2002 Sep;63(9):1320-2.","Am J Vet Res.  2002","PubMed","citation","PMID:12224868","pubmed","12224868","create date:2002/09/13 | first author:Dunn ME",
"Monitoring techniques for diabetes mellitus in the dog and the cat.","/pubmed/12219718","Bennett N.","Clin Tech Small Anim Pract. 2002 May;17(2):65-9. Review.","Clin Tech Small Anim Pract.  2002","PubMed","citation","PMID:12219718","pubmed","12219718","create date:2002/09/11 | first author:Bennett N",
"Review of growth plate closure compared with age at sexual maturity and lifespan in laboratory animals.","/pubmed/12213043","Kilborn SH, Trudel G, Uhthoff H.","Contemp Top Lab Anim Sci. 2002 Sep;41(5):21-6.","Contemp Top Lab Anim Sci.  2002","PubMed","citation","PMID:12213043","pubmed","12213043","create date:2002/09/06 | first author:Kilborn SH",
"Effect of cat and dog ownership on sensitization and development of asthma among preteenage children.","/pubmed/12204868","Perzanowski MS, Rönmark E, Platts-Mills TA, Lundbäck B.","Am J Respir Crit Care Med. 2002 Sep 1;166(5):696-702.","Am J Respir Crit Care Med.  2002","PubMed","citation","PMID:12204868","pubmed","12204868","create date:2002/09/03 | first author:Perzanowski MS",
"Determination of bisphenol A in canned pet foods.","/pubmed/12204638","Kang JH, Kondo F.","Res Vet Sci. 2002 Oct;73(2):177-82.","Res Vet Sci.  2002","PubMed","citation","PMID:12204638","pubmed","12204638","create date:2002/09/03 | first author:Kang JH",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Post-mortem castration by a dog: a case report.","/pubmed/12201075","Romain N, Brandt-Casadevall C, Dimo-Simonin N, Michaud K, Mangin P, Papilloud J.","Med Sci Law. 2002 Jul;42(3):269-71.","Med Sci Law.  2002","PubMed","citation","PMID:12201075","pubmed","12201075","create date:2002/08/31 | first author:Romain N",
"Exposure to dogs and cats in the first year of life and risk of allergic sensitization at 6 to 7 years of age.","/pubmed/12190366","Ownby DR, Johnson CC, Peterson EL.","JAMA. 2002 Aug 28;288(8):963-72.","JAMA.  2002","PubMed","citation","PMID:12190366","pubmed","12190366","create date:2002/08/23 | first author:Ownby DR",
"Hiatal hernia controversies--a review of pathophysiology and treatment options.","/pubmed/12180879","Sivacolundhu RK, Read RA, Marchevsky AM.","Aust Vet J. 2002 Jan-Feb;80(1-2):48-53. Review.","Aust Vet J.  2002","PubMed","citation","PMID:12180879","pubmed","12180879","create date:2002/08/16 | first author:Sivacolundhu RK",
"Clinical skills and knowledge used by veterinary graduates during their first year in small animal practice.","/pubmed/12180876","Clark WT, Kane L, Arnold PK, Robertson ID.","Aust Vet J. 2002 Jan-Feb;80(1-2):37-40.","Aust Vet J.  2002","PubMed","citation","PMID:12180876","pubmed","12180876","create date:2002/08/16 | first author:Clark WT",
"Parallel construction of orthologous sequence-ready clone contig maps in multiple species.","/pubmed/12176935","Thomas JW, Prasad AB, Summers TJ, Lee-Lin SQ, Maduro VV, Idol JR, Ryan JF, Thomas PJ, McDowell JC, Green ED.","Genome Res. 2002 Aug;12(8):1277-85.","Genome Res.  2002","PubMed","citation","PMID:12176935 | PMCID:PMC186643","pubmed","12176935","create date:2002/08/15 | first author:Thomas JW",
"[Determination of clotting factor VIII activity in mammals using the one-stage clotting and the chromogenic methods].","/pubmed/12174728","Lutze G Jr, Lutze G, Kutschmann K, Schröpel M.","Berl Munch Tierarztl Wochenschr. 2002 Jul-Aug;115(7-8):297-302. German. ","Berl Munch Tierarztl Wochenschr.  2002","PubMed","citation","PMID:12174728","pubmed","12174728","create date:2002/08/15 | first author:Lutze G Jr",
"[Allergic rhinitis: evaluation of prick test positivity for German and American cockroaches (Blatella Germanica, Periplaneta Americana)].","/pubmed/12173285","Barbieri M, Salami A, Cordone G, Sovatzis A, Mora F, Cordone MP, Mora R, Yoo TJ.","Acta Otorhinolaryngol Ital. 2002 Jun;22(3):150-2. Italian. ","Acta Otorhinolaryngol Ital.  2002","PubMed","citation","PMID:12173285","pubmed","12173285","create date:2002/08/14 | first author:Barbieri M",
"Update on the taxonomy and clinical aspects of the genus fusobacterium.","/pubmed/12173104","Citron DM.","Clin Infect Dis. 2002 Sep 1;35(Suppl 1):S22-7.","Clin Infect Dis.  2002","PubMed","citation","PMID:12173104","pubmed","12173104","create date:2002/08/13 | first author:Citron DM",
"Tight junctions are sensitive to peptides eliminated in the urine.","/pubmed/12172645","Gallardo JM, Hernández JM, Contreras RG, Flores-Maldonado C, González-Mariscal L, Cereijido M.","J Membr Biol. 2002 Jul 1;188(1):33-42.","J Membr Biol.  2002","PubMed","citation","PMID:12172645","pubmed","12172645","create date:2002/08/13 | first author:Gallardo JM",
"Activating mutations in the catalytic or juxtamembrane domain of c-kit in splenic mast cell tumors of cats.","/pubmed/12171166","Dank G, Chien MB, London CA.","Am J Vet Res. 2002 Aug;63(8):1129-33.","Am J Vet Res.  2002","PubMed","citation","PMID:12171166","pubmed","12171166","create date:2002/08/13 | first author:Dank G",
"Identification of two novel primate-specific genes in DSCR.","/pubmed/12168953","Takamatsu K, Maekawa K, Togashi T, Choi DK, Suzuki Y, Taylor TD, Toyoda A, Sugano S, Fujiyama A, Hattori M, Sakaki Y, Takeda T.","DNA Res. 2002 Jun 30;9(3):89-97.","DNA Res.  2002","PubMed","citation","PMID:12168953","pubmed","12168953","create date:2002/08/10 | first author:Takamatsu K",
"In vivo labeling of rabbit cholinergic basal forebrain neurons with fluorochromated antibodies.","/pubmed/12167760","Härtig W, Varga C, Kacza J, Grosche J, Seeger J, Luiten PG, Brauer K, Harkany T.","Neuroreport. 2002 Aug 7;13(11):1395-8.","Neuroreport.  2002","PubMed","citation","PMID:12167760","pubmed","12167760","create date:2002/08/09 | first author:Härtig W",
"Prevalence of Giardia and Cryptosporidium and characterization of Cryptosporidium spp. isolated from wildlife, human, and agricultural sources in the North Saskatchewan River Basin in Alberta, Canada.","/pubmed/12166680","Heitman TL, Frederick LM, Viste JR, Guselle NJ, Morgan UM, Thompson RC, Olson ME.","Can J Microbiol. 2002 Jun;48(6):530-41.","Can J Microbiol.  2002","PubMed","citation","PMID:12166680","pubmed","12166680","create date:2002/08/09 | first author:Heitman TL",
"Environmental risk factors for allergy and socioeconomic status in a birth cohort (BAMSE).","/pubmed/12144640","Lannerö E, Kull I, Wickman M, Pershagen G, Nordvall SL.","Pediatr Allergy Immunol. 2002 Jun;13(3):182-7.","Pediatr Allergy Immunol.  2002","PubMed","citation","PMID:12144640","pubmed","12144640","create date:2002/07/30 | first author:Lannerö E",
"Distribution of fim3 and flaA TTGE sequence types amongst isolates of Bordetella bronchiseptica from different host animals.","/pubmed/12132771","Shina A, Hart CA, Stenton MD, Dawson S, McCracken CM, Binns SH, Gaskell RM, Winstanley C.","J Med Microbiol. 2002 Jul;51(7):557-63.","J Med Microbiol.  2002","PubMed","citation","PMID:12132771","pubmed","12132771","create date:2002/07/23 | first author:Shina A",
"Laminin-5 is targeted by autoantibodies in feline mucous membrane (cicatricial) pemphigoid.","/pubmed/12127411","Olivry T, Dunston SM, Zhang G, Ghohestani RF.","Vet Immunol Immunopathol. 2002 Sep 25;88(3-4):123-9.","Vet Immunol Immunopathol.  2002","PubMed","citation","PMID:12127411","pubmed","12127411","create date:2002/07/20 | first author:Olivry T",
"Globoid cell-like leukodystrophy in a domestic longhaired cat.","/pubmed/12126153","Sigurdson CJ, Basaraba RJ, Mazzaferro EM, Gould DH.","Vet Pathol. 2002 Jul;39(4):494-6.","Vet Pathol.  2002","PubMed","citation","PMID:12126153","pubmed","12126153","create date:2002/07/20 | first author:Sigurdson CJ",
"Cloning and characterization of feline brain natriuretic peptide.","/pubmed/12119112","Liu ZL, Wiedmeyer CE, Sisson DD, Solter PF.","Gene. 2002 Jun 12;292(1-2):183-90.","Gene.  2002","PubMed","citation","PMID:12119112","pubmed","12119112","create date:2002/07/18 | first author:Liu ZL",
"Treatment of pain in dogs and cats.","/pubmed/12118582","Hellyer PW.","J Am Vet Med Assoc. 2002 Jul 15;221(2):212-5. Review. No abstract available. ","J Am Vet Med Assoc.  2002","PubMed","citation","PMID:12118582","pubmed","12118582","create date:2002/07/18 | first author:Hellyer PW",
"Questions reported risks of Salmonella infections.","/pubmed/12118574","Hancock D, Besser TE, Mealey KL.","J Am Vet Med Assoc. 2002 Jul 15;221(2):192. No abstract available. ","J Am Vet Med Assoc.  2002","PubMed","citation","PMID:12118574","pubmed","12118574","create date:2002/07/18 | first author:Hancock D",
"Tissue levels, histologic changes and plasma pharmacokinetics of meta-Tetra (hydroxyphenyl) chlorin (mTHPC) in the cat.","/pubmed/12111590","Campbell GA, Bartels KE, Arnold C, Healey T, Cowell RL, Lucroy MD, Ronn AM.","Lasers Med Sci. 2002;17(2):79-85.","Lasers Med Sci.  2002","PubMed","citation","PMID:12111590","pubmed","12111590","create date:2002/07/12 | first author:Campbell GA",
"Pathological and clinical aspects of the diseases caused by Malassezia species.","/pubmed/12109170","Dorogi J.","Acta Microbiol Immunol Hung. 2002;49(2-3):363-9. Review.","Acta Microbiol Immunol Hung.  2002","PubMed","citation","PMID:12109170","pubmed","12109170","create date:2002/07/12 | first author:Dorogi J",
"Morphology of Gnathostoma spp. isolated from natural hosts in Sinaloa, Mexico.","/pubmed/12107456","Diaz Camacho SP, Willms K, Ramos MZ, del Carmen de la Cruz Otero M, Nawa Y, Akahane H.","Parasitol Res. 2002 Jul;88(7):639-45. Epub 2002 Apr 16.","Parasitol Res.  2002","PubMed","citation","PMID:12107456","pubmed","12107456","create date:2002/07/11 | first author:Diaz Camacho SP",
"Differentiation of Malassezia furfur and Malassezia sympodialis by glycine utilization.","/pubmed/12100536","Murai T, Nakamura Y, Kano R, Watanabe S, Hasegawa A.","Mycoses. 2002 Jun;45(5-6):180-3.","Mycoses.  2002","PubMed","citation","PMID:12100536","pubmed","12100536","create date:2002/07/09 | first author:Murai T",
"Comparative oncological studies of feline bronchioloalveolar lung carcinoma, its derived cell line and xenograft.","/pubmed/12097296","Grossman DA, Hiti AL, McNiel EA, Ye Y, Alpaugh ML, Barsky SH.","Cancer Res. 2002 Jul 1;62(13):3826-33.","Cancer Res.  2002","PubMed","citation","PMID:12097296","pubmed","12097296","create date:2002/07/05 | first author:Grossman DA",
"Production and characterization of monoclonal antibodies against dog immunoglobulin isotypes.","/pubmed/12088642","Arce C, Moreno A, Millán Y, Martín de las Mulas J, Llanes D.","Vet Immunol Immunopathol. 2002 Sep 6;88(1-2):31-41.","Vet Immunol Immunopathol.  2002","PubMed","citation","PMID:12088642","pubmed","12088642","create date:2002/06/29 | first author:Arce C",
"Gene transduction efficiency in cells of different species by HIV and EIAV vectors.","/pubmed/12085241","Ikeda Y, Collins MK, Radcliffe PA, Mitrophanous KA, Takeuchi Y.","Gene Ther. 2002 Jul;9(14):932-8.","Gene Ther.  2002","PubMed","citation","PMID:12085241","pubmed","12085241","create date:2002/06/27 | first author:Ikeda Y",
"Characterization of Sri Lanka rabies virus isolates using nucleotide sequence analysis of nucleoprotein gene.","/pubmed/12083333","Arai YT, Takahashi H, Kameoka Y, Shiino T, Wimalaratne O, Lodmell DL.","Acta Virol. 2001;45(5-6):327-33.","Acta Virol.  2001","PubMed","citation","PMID:12083333","pubmed","12083333","create date:2002/06/27 | first author:Arai YT",
"[Treatment of bite wounds and cat-scratch disease].","/pubmed/12078126","Jovanović J, Lalosević V.","Med Pregl. 2001;54 Suppl 1:39-42. Croatian. ","Med Pregl.  2001","PubMed","citation","PMID:12078126","pubmed","12078126","create date:2002/06/25 | first author:Jovanović J",
"Muscular dystrophies involving the dystrophin-glycoprotein complex: an overview of current mouse models.","/pubmed/12076680","Durbeej M, Campbell KP.","Curr Opin Genet Dev. 2002 Jun;12(3):349-61. Review.","Curr Opin Genet Dev.  2002","PubMed","citation","PMID:12076680","pubmed","12076680","create date:2002/06/22 | first author:Durbeej M",
"Ownership of cats or dogs does not increase exposure to Rickettsia typhi.","/pubmed/12073903","Wiggers RJ, Stewart RS.","Tex Med. 2002 Jun;98(6):56-7.","Tex Med.  2002","PubMed","citation","PMID:12073903","pubmed","12073903","create date:2002/06/21 | first author:Wiggers RJ",
"Laser use in veterinary dentistry.","/pubmed/12064047","Bellows J.","Vet Clin North Am Small Anim Pract. 2002 May;32(3):673-92, viii. Review.","Vet Clin North Am Small Anim Pract.  2002","PubMed","citation","PMID:12064047","pubmed","12064047","create date:2002/06/18 | first author:Bellows J",
"In vitro susceptibility of Microsporum canis and other dermatophyte isolates from veterinary infections during therapy with terbinafine or griseofulvin.","/pubmed/12058731","Hofbauer B, Leitner I, Ryder NS.","Med Mycol. 2002 Apr;40(2):179-83.","Med Mycol.  2002","PubMed","citation","PMID:12058731","pubmed","12058731","create date:2002/06/13 | first author:Hofbauer B",
"Therapy and prevention of parasitic insects in veterinary medicine using imidacloprid.","/pubmed/12052186","Mencke N, Jeschke P.","Curr Top Med Chem. 2002 Jul;2(7):701-15. Review.","Curr Top Med Chem.  2002","PubMed","citation","PMID:12052186","pubmed","12052186","create date:2002/06/08 | first author:Mencke N",
"Consensus statement on ehrlichial disease of small animals from the infectious disease study group of the ACVIM. American College of Veterinary Internal Medicine.","/pubmed/12041661","Neer TM, Breitschwerdt EB, Greene RT, Lappin MR.","J Vet Intern Med. 2002 May-Jun;16(3):309-15. Review.","J Vet Intern Med.  2002","PubMed","citation","PMID:12041661","pubmed","12041661","create date:2002/06/04 | first author:Neer TM",
